Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-01-01,1103.4732666015625,1123.9944447207963,1099.051992049373,1118.7807255934274,1351760
2018-01-02,1097.4669189453125,1113.4835240043412,1092.8788464565525,1109.479347281973,1920290
2018-01-03,1100.57421875,1113.2331679297847,1097.4668629073665,1097.800561255599,1257120
2018-01-04,1108.2698974609375,1110.3136346437657,1101.137488902908,1105.3084642396616,913082
2018-01-05,1121.6585693359375,1125.954693924074,1105.3083678084074,1105.3083678084074,1153706
2018-01-08,1132.16943359375,1137.3623790263348,1118.5929911893666,1126.1632702180987,1242220
2018-01-09,1129.9176025390625,1134.922774643333,1116.3828033398618,1132.4201885911978,2149396
2018-01-10,1170.6260986328125,1174.5467751187082,1123.931943491404,1130.7515295975916,3365850
2018-01-11,1163.9110107421875,1177.007836427233,1160.4490798263114,1172.0444150458866,2520744
2018-01-12,1158.008544921875,1169.958346120667,1143.076435860202,1169.958346120667,3360314
2018-01-15,1145.3917236328125,1171.2100235187934,1140.7827749334278,1158.342522236196,1457214
2018-01-16,1189.0826416015625,1193.5872138683228,1147.2477351954476,1149.520896573305,4267752
2018-01-17,1204.9736328125,1220.010015939135,1193.795401018322,1197.0696566650658,4280806
2018-01-18,1217.17431640625,1223.3473818632342,1196.2569104284378,1208.3318667772894,2209478
2018-01-19,1234.3167724609375,1243.7848662679799,1211.1052332245652,1222.325218166771,1820000
2018-01-22,1302.924560546875,1310.575562929284,1221.6485962070303,1237.953967614311,4367110
2018-01-23,1296.904541015625,1313.7743749552815,1291.9084269151351,1302.3187416863973,3239610
2018-01-24,1327.257568359375,1362.5649561853888,1288.814429417012,1291.887406309327,5621538
2018-01-25,1304.8687744140625,1329.431354089967,1288.1243911738127,1327.4245186552596,3833844
2018-01-29,1337.39599609375,1348.3289168699996,1305.2660088273299,1309.1959809655723,3141060
2018-01-30,1318.1640625,1339.4655492629834,1314.338509781436,1329.5150701474995,1574758
2018-01-31,1301.2315673828125,1316.972483379204,1295.4828779712366,1311.5373588446232,3043214
2018-02-01,1312.2060546875,1333.695655454473,1291.3853309371893,1306.1019522381735,2400630
2018-02-02,1318.4984130859375,1333.6958977654085,1297.5104917862657,1304.4298435824685,2456490
2018-02-05,1297.406005859375,1332.8597614593743,1286.3894878319832,1300.2490144726019,2757742
2018-02-06,1253.1099853515625,1286.5150618235177,1247.9884248142178,1258.440589176146,2657306
2018-02-07,1235.466796875,1267.220452937218,1232.2892979656235,1265.5481065790034,2180324
2018-02-08,1243.4727783203125,1265.7986574144447,1237.117884290213,1245.793178679879,2755004
2018-02-09,1242.427978515625,1251.7513304830406,1211.050557515818,1233.3555193470172,2102458
2018-02-12,1240.5880126953125,1264.0217799392487,1235.6754966338085,1245.1869639018269,1974562
2018-02-14,1217.3841552734375,1243.577230746942,1209.3150663094411,1241.7167664439205,2847532
2018-02-15,1223.258056640625,1230.4281971168568,1214.5827643911603,1225.8083222756597,2465236
2018-02-16,1226.2685546875,1254.0922299853196,1222.066765203571,1222.066765203571,2515756
2018-02-19,1222.317626953125,1234.7347745192824,1210.4439101326434,1231.2646364537782,1568224
